"Method","Bias","MAD","MSE","MAPE (%)","RSFE","Tracking Signal","Next Forecast"
"Naïve Forecasting",479.7,22802.5,920899832,25.762,122316,5.364,"182,034"
"Moving Average (k=3)",983.9,19181.3,637983310,20.899,248924.3,12.977,"154,585"
"Weighted Moving Average",859.7,19407.1,646019794,21.248,217501,11.207,"164,626"
"Exponential Smoothing",1301.9,18401.6,598155668,20.536,333274.3,18.111,"170,381"
"Trend-Adjusted ES (Holt)",712.3,18419.3,589811255,20.613,182340.3,9.899,"168,476"
"Linear Trend Projection",0,29842.5,1514285026,34.356,0,0,"152,835"
"Seasonal Indices",-200.7,27675.5,1370516494,30.73,-51375.2,-1.856,"171,239"
"Additive Decomposition",1102.5,27315.8,1347365948,30.335,282237.5,10.332,"161,980"
"Multiplicative Decomposition",1126.8,27394.6,1370088780,30.03,288456.7,10.53,"166,946"
"Regression (Trend + Seasonal)",0,27486,1343543275,30.867,0,0,"163,930"
